Componente,Navegador,VersionNav,Error,SO,Descripcion,
iron-a11y-announcer,Chrome,Chrome 53,Unable to announce same message more than once,NE,Clicking any single announce button multiple times in a row will only announce the message once.,
iron-a11y-announcer,Chrome,Chrome Canary,Unable to announce same message more than once,NE,Clicking any single announce button multiple times in a row will only announce the message once.,
iron-a11y-announcer,Edge,Edge,Not supported,NE,Not supported,
iron-a11y-keys,Firefox,Firefox,responding to key presses,NE,"In shady DOM, iron-a11y-keys responds to key presses that happen on non-target elements.",
iron-a11y-keys,Edge,Edge,responding to key presses,NE,"In shady DOM, iron-a11y-keys responds to key presses that happen on non-target elements.",
iron-a11y-keys,Chrome,Chrome,Alt modifier keys not working in chrome on mac but works in windows. ,Mac OS,Alt modifier keys not working in chrome on mac but works in windows. ,
iron-a11y-keys,Firefox,Firefox,Alt modifier keys not working in chrome on mac but works in windows. ,Mac OS,Alt modifier keys not working in chrome on mac but works in windows. ,
iron-a11y-keys,Opera,Opera,Alt modifier keys not working in chrome on mac but works in windows. ,Mac OS,Alt modifier keys not working in chrome on mac but works in windows. ,
iron-a11y-keys-behavior,Chrome,Chrome 60,"Can't listen for alt, meta, or shift",Mac OS,"Can't listen for alt, meta, or shift",
iron-a11y-keys-behavior,Chrome,Chrome 60,"Can't listen for alt, meta, or shift",Mac OS,"Can't listen for alt, meta, or shift",
iron-a11y-keys-behavior,IE,IE,"Numpad ""+"", ""-"" and ""/"" not detected",NE,"This happens because the ""key"" property in the event is different in Chrome and IE",
iron-a11y-keys-behavior,Edge,Edge,"Numpad ""+"", ""-"" and ""/"" not detected",NE,"This happens because the ""key"" property in the event is different in Chrome and IE",
iron-ajax,Chrome,Chrome,Iron-ajax does two calls for service,NE,two calls in network tab of dev tools using iron-ajax,
iron-ajax,Firefox,Firefox,Iron-ajax does two calls for service,NE,two calls in network tab of dev tools using iron-ajax,
iron-ajax,Edge,Edge,Iron-ajax does two calls for service,NE,two calls in network tab of dev tools using iron-ajax,
iron-ajax,Chrome,Chrome,response event bubbles when it should not,NE,response event bubbles when it should not,
iron-ajax,Chrome,Chrome,"Closure Compiler (polymer_version=2, compilation_level: 'ADVANCED') fails",NE,The iron-ajax element causes it's host element to throw a Uncaught TypeError: Cannot read property 'ub' of undefined when compiled with closure advanced mode.,
iron-ajax,Firefox,Firefox,"Closure Compiler (polymer_version=2, compilation_level: 'ADVANCED') fails",NE,The iron-ajax element causes it's host element to throw a Uncaught TypeError: Cannot read property 'ub' of undefined when compiled with closure advanced mode.,
iron-ajax,Safari,Safari 9,"Closure Compiler (polymer_version=2, compilation_level: 'ADVANCED') fails",NE,The iron-ajax element causes it's host element to throw a Uncaught TypeError: Cannot read property 'ub' of undefined when compiled with closure advanced mode.,
iron-ajax,Safari,Safari 8,"Closure Compiler (polymer_version=2, compilation_level: 'ADVANCED') fails",NE,The iron-ajax element causes it's host element to throw a Uncaught TypeError: Cannot read property 'ub' of undefined when compiled with closure advanced mode.,
iron-ajax,Safari,Safari 7,"Closure Compiler (polymer_version=2, compilation_level: 'ADVANCED') fails",NE,The iron-ajax element causes it's host element to throw a Uncaught TypeError: Cannot read property 'ub' of undefined when compiled with closure advanced mode.,
iron-ajax,Edge,Edge,"Closure Compiler (polymer_version=2, compilation_level: 'ADVANCED') fails",NE,The iron-ajax element causes it's host element to throw a Uncaught TypeError: Cannot read property 'ub' of undefined when compiled with closure advanced mode.,
iron-ajax,IE,IE 10,"Closure Compiler (polymer_version=2, compilation_level: 'ADVANCED') fails",NE,The iron-ajax element causes it's host element to throw a Uncaught TypeError: Cannot read property 'ub' of undefined when compiled with closure advanced mode.,
iron-ajax,IE,IE 11,"Closure Compiler (polymer_version=2, compilation_level: 'ADVANCED') fails",NE,The iron-ajax element causes it's host element to throw a Uncaught TypeError: Cannot read property 'ub' of undefined when compiled with closure advanced mode.,
iron-ajax,Chrome,Chrome,Getting exception when using iron-ajax for sync request,NE,The iron-ajax element is throwing script exception for sync request.,
iron-ajax,Firefox,Firefox,Getting exception when using iron-ajax for sync request,NE,The iron-ajax element is throwing script exception for sync request.,
Iron-ajax,Chrome,Chrome,Send and reSend problem,NE,Can only use one time the xhr componnent,
iron-ajax,Firefox,Firefox,Different relative URLs depending on data binding,NE,When using relative paths the absolute URL of a generated request seems to be different depending on whether data binding is used.,
iron-ajax,Chrome,Chrome,Different relative URLs depending on data binding,NE,When using relative paths the absolute URL of a generated request seems to be different depending on whether data binding is used.,
iron-ajax,UC Browser,UC Browser,UC Browser doesn't support handleAs = 'json' in AJAX requests.,NE,UC Browser doesn't support handleAs = 'json' in AJAX requests.,
iron-ajax,Chrome,Chrome,Setting headers in Iron-ajax html property 'headers' never works,NE,Setting headers in Iron-ajax html property 'headers' never works,
iron-ajax,Safari ,Safari 10,Setting headers in Iron-ajax html property 'headers' never works,NE,Setting headers in Iron-ajax html property 'headers' never works,
iron-ajax,Chrome,Chrome,Headers get sent with the wrong name,NE,"When I set a header like so: this.$.authAjax.headers = {""Authorization"" : ""Bearer ""+this.accessToken}; it doesn't send it correctly",
iron-ajax,Firefox,Firefox,Headers get sent with the wrong name,NE,"When I set a header like so: this.$.authAjax.headers = {""Authorization"" : ""Bearer ""+this.accessToken}; it doesn't send it correctly",
iron-ajax,Safari,Safari 7,Headers get sent with the wrong name,NE,"When I set a header like so: this.$.authAjax.headers = {""Authorization"" : ""Bearer ""+this.accessToken}; it doesn't send it correctly",
iron-ajax,Safari,Safari 8,Headers get sent with the wrong name,NE,"When I set a header like so: this.$.authAjax.headers = {""Authorization"" : ""Bearer ""+this.accessToken}; it doesn't send it correctly",
iron-ajax,Safari,Safari 9,Headers get sent with the wrong name,NE,"When I set a header like so: this.$.authAjax.headers = {""Authorization"" : ""Bearer ""+this.accessToken}; it doesn't send it correctly",
iron-ajax,Edge,Edge,Headers get sent with the wrong name,NE,"When I set a header like so: this.$.authAjax.headers = {""Authorization"" : ""Bearer ""+this.accessToken}; it doesn't send it correctly",
iron-ajax,IE,IE 10,Headers get sent with the wrong name,NE,"When I set a header like so: this.$.authAjax.headers = {""Authorization"" : ""Bearer ""+this.accessToken}; it doesn't send it correctly",
iron-ajax,IE,IE 11,Headers get sent with the wrong name,NE,"When I set a header like so: this.$.authAjax.headers = {""Authorization"" : ""Bearer ""+this.accessToken}; it doesn't send it correctly",
iron-autogrow-textarea,Chrome,Chrome,CSS padding does not effectively style the element,NE,Adding CSS padding does not effectively style the element when used directly or with a mixin,
iron-autogrow-textarea,Chrome,Chrome,No label for screen readers,NE,iron-autogrow-textarea has no label for screen readers to read so when entering the field NVDA is quiet.,
iron-autogrow-textarea,Chrome,Chrome,Inconsistent Ctrl-Z Behavior in Chrome,NE,Using Ctrl-Z in iron-autogrow-textarea elements inconsistently only undoes one character at a time (particularly when there is more than one line of content).,
iron-collapse,Chrome,Chrome,iron-collapse not behaving right inside iron-list,NE,iron-collapse not behaving right inside iron-list,
iron-collapse,Firefox,Firefox,iron-collapse not behaving right inside iron-list,NE,iron-collapse not behaving right inside iron-list,
iron-collapse,Safari,Safari 7,iron-collapse not behaving right inside iron-list,NE,iron-collapse not behaving right inside iron-list,
iron-collapse,Safari,Safari 8,iron-collapse not behaving right inside iron-list,NE,iron-collapse not behaving right inside iron-list,
iron-collapse,Safari,Safari 9,iron-collapse not behaving right inside iron-list,NE,iron-collapse not behaving right inside iron-list,
iron-collapse,Edge,Edge,iron-collapse not behaving right inside iron-list,NE,iron-collapse not behaving right inside iron-list,
iron-collapse,IE,IE 10,iron-collapse not behaving right inside iron-list,NE,iron-collapse not behaving right inside iron-list,
iron-collapse,IE,IE 11,iron-collapse not behaving right inside iron-list,NE,iron-collapse not behaving right inside iron-list,
iron-component-page,Chrome,Chrome,Optional Property: show-inherited,NE,"With the latest release, adding this element into custom elements shows all the inherited functions and properties.",
iron-component-page,IE,IE 11,Element no longer works in IE11 due to URL API usage,NE,Element no longer works in IE11 due to URL API usage,
iron-component-page,Chrome,Chrome,Demo is not shown with polymer cli 0.18.0-pre.15. ,NE,Demo is not shown with polymer cli 0.18.0-pre.15. ,
iron-component-page,Chrome,Chrome,master branch is hard-coded,NE,"iron-component-page has ""master"" branch name hard-coded therefore it's impossible to use it with any other branch.",
iron-component-page,Firefox,Firefox,master branch is hard-coded,NE,"iron-component-page has ""master"" branch name hard-coded therefore it's impossible to use it with any other branch.",
iron-component-page,Safari,Safari 9,master branch is hard-coded,NE,"iron-component-page has ""master"" branch name hard-coded therefore it's impossible to use it with any other branch.",
iron-component-page,Edge,Edge,master branch is hard-coded,NE,"iron-component-page has ""master"" branch name hard-coded therefore it's impossible to use it with any other branch.",
iron-component-page,IE,IE 11,master branch is hard-coded,NE,"iron-component-page has ""master"" branch name hard-coded therefore it's impossible to use it with any other branch.",
iron-component-page,Safari,Safari 9,iframes in Safari,NE,iframes in Safari,
